Zipcode,State,LocationType,Lat,Long
02564,MA,PRIMARY,41.27,-70
02584,MA,PRIMARY,41.27,-70.1
01760,MA,PRIMARY,42.28,-71.35
01531,MA,PRIMARY,42.31,-72.13
01950,MA,PRIMARY,42.81,-70.88
01951,MA,PRIMARY,42.8,-71
01952,MA,PRIMARY,42.83,-70.84
02056,MA,PRIMARY,42.11,-71.31
02351,MA,PRIMARY,42.11,-70.95
01862,MA,PRIMARY,42.57,-71.29
01532,MA,PRIMARY,42.31,-71.64
01534,MA,PRIMARY,42.15,-71.65
01535,MA,PRIMARY,42.27,-72.08
02355,MA,PRIMARY,41.91,-70.79
02650,MA,PRIMARY,41.7,-69.95
01863,MA,PRIMARY,42.63,-71.39
02651,MA,PRIMARY,41.84,-69.97
02356,MA,PRIMARY,42.05,-71.1
02357,MA,PRIMARY,42.05,-71.1
02556,MA,PRIMARY,41.64,-70.63
02565,MA,PRIMARY,41.63,-70.64
01536,MA,PRIMARY,42.23,-71.69
02059,MA,PRIMARY,42.1,-70.71
01537,MA,PRIMARY,42.16,-71.88
02358,MA,PRIMARY,42.09,-70.78
01864,MA,PRIMARY,42.56,-71.06
01889,MA,PRIMARY,42.56,-71.06
05544,MA,PRIMARY,42.65,-71.14
01430,MA,PRIMARY,42.63,-71.9
01431,MA,PRIMARY,42.68,-71.81
01721,MA,PRIMARY,42.25,-71.46
01501,MA,PRIMARY,42.2,-71.83
02322,MA,PRIMARY,42.11,-71.03
01432,MA,PRIMARY,42.56,-71.58
01434,MA,PRIMARY,42.53,-71.61
01436,MA,PRIMARY,42.6,-72.07
02630,MA,PRIMARY,41.7,-70.3
01730,MA,PRIMARY,42.48,-71.26
01731,MA,PRIMARY,42.46,-71.28
02019,MA,PRIMARY,42.09,-71.47
01503,MA,PRIMARY,42.38,-71.63
01915,MA,PRIMARY,42.55,-70.84
01821,MA,PRIMARY,42.55,-71.26
01822,MA,PRIMARY,42.55,-71.26
01504,MA,PRIMARY,42.01,-71.5
01740,MA,PRIMARY,42.43,-71.6
02108,MA,PRIMARY,42.35,-71.06
02109,MA,PRIMARY,42.35,-71.06
02110,MA,PRIMARY,42.35,-71.06
02111,MA,PRIMARY,42.35,-71.06
02112,MA,PRIMARY,42.35,-71.06
02113,MA,PRIMARY,42.35,-71.06
02114,MA,PRIMARY,42.35,-71.06
02115,MA,PRIMARY,42.35,-71.06
02116,MA,PRIMARY,42.35,-71.06
02117,MA,PRIMARY,42.35,-71.06
02118,MA,PRIMARY,42.35,-71.06
02119,MA,PRIMARY,42.35,-71.06
02120,MA,PRIMARY,42.35,-71.06
02121,MA,PRIMARY,42.35,-71.06
02122,MA,PRIMARY,42.35,-71.06
02123,MA,PRIMARY,42.35,-71.06
02124,MA,PRIMARY,42.35,-71.06
02125,MA,PRIMARY,42.35,-71.06
02126,MA,PRIMARY,42.26,-71.1
02127,MA,PRIMARY,42.35,-71.06
02128,MA,PRIMARY,42.35,-71.06
02129,MA,PRIMARY,42.38,-71.06
02130,MA,PRIMARY,42.3,-71.11
02131,MA,PRIMARY,42.28,-71.13
02132,MA,PRIMARY,42.28,-71.16
02133,MA,PRIMARY,42.35,-71.06
02134,MA,PRIMARY,42.35,-71.13
02135,MA,PRIMARY,42.35,-71.15
02136,MA,PRIMARY,42.26,-71.11
02137,MA,PRIMARY,42.25,-71.12
02163,MA,PRIMARY,42.35,-71.06
02196,MA,PRIMARY,42.35,-71.06
02199,MA,PRIMARY,42.35,-71.06
02201,MA,PRIMARY,42.35,-71.06
02203,MA,PRIMARY,42.35,-71.06
02204,MA,PRIMARY,42.35,-71.06
02205,MA,PRIMARY,42.35,-71.06
02206,MA,PRIMARY,42.35,-71.06
02210,MA,PRIMARY,42.35,-71.06
02211,MA,PRIMARY,42.35,-71.06
02212,MA,PRIMARY,42.35,-71.06
02215,MA,PRIMARY,42.35,-71.06
02217,MA,PRIMARY,42.35,-71.06
02222,MA,PRIMARY,42.35,-71.06
02228,MA,PRIMARY,42.35,-71.06
02241,MA,PRIMARY,42.35,-71.06
02266,MA,PRIMARY,42.35,-71.06
02283,MA,PRIMARY,42.35,-71.06
02284,MA,PRIMARY,42.35,-71.06
02293,MA,PRIMARY,42.35,-71.06
02295,MA,PRIMARY,42.35,-71.06
02297,MA,PRIMARY,42.35,-71.06
02298,MA,PRIMARY,42.34,-71.05
01921,MA,PRIMARY,42.67,-70.98
01505,MA,PRIMARY,42.35,-71.73
02020,MA,PRIMARY,42.08,-70.64
02631,MA,PRIMARY,41.76,-70.08
02324,MA,PRIMARY,41.98,-70.97
02325,MA,PRIMARY,41.98,-70.97
02301,MA,PRIMARY,42.08,-71.02
02302,MA,PRIMARY,42.08,-71.02
02303,MA,PRIMARY,42.08,-71.02
02304,MA,PRIMARY,42.08,-71.02
02305,MA,PRIMARY,42.08,-71.02
01506,MA,PRIMARY,42.21,-72.1
02327,MA,PRIMARY,42.06,-70.8
01803,MA,PRIMARY,42.5,-71.2
01805,MA,PRIMARY,42.5,-71.2
02532,MA,PRIMARY,41.75,-70.61
02542,MA,PRIMARY,41.75,-70.61
01922,MA,PRIMARY,42.75,-70.93
02138,MA,PRIMARY,42.37,-71.11
02139,MA,PRIMARY,42.37,-71.11
02140,MA,PRIMARY,42.37,-71.11
02141,MA,PRIMARY,42.37,-71.11
02142,MA,PRIMARY,42.37,-71.11
02238,MA,PRIMARY,42.37,-71.11
02021,MA,PRIMARY,42.15,-71.13
01741,MA,PRIMARY,42.53,-71.35
02330,MA,PRIMARY,41.88,-70.76
02534,MA,PRIMARY,41.66,-70.61
02632,MA,PRIMARY,41.66,-70.34
02634,MA,PRIMARY,41.66,-70.34
01507,MA,PRIMARY,42.13,-71.96
01509,MA,PRIMARY,42.13,-71.96
01508,MA,PRIMARY,42.13,-71.96
02633,MA,PRIMARY,41.67,-69.96
01824,MA,PRIMARY,42.59,-71.36
02535,MA,PRIMARY,41.34,-70.74
02552,MA,PRIMARY,41.34,-70.73
01510,MA,PRIMARY,42.41,-71.68
02025,MA,PRIMARY,42.23,-70.8
01742,MA,PRIMARY,42.45,-71.35
02635,MA,PRIMARY,41.62,-70.44
02652,MA,PRIMARY,42.04,-70.09
01538,MA,PRIMARY,42.05,-71.64
02061,MA,PRIMARY,42.16,-70.78
02062,MA,PRIMARY,42.18,-71.19
01865,MA,PRIMARY,42.54,-71.25
02557,MA,PRIMARY,41.45,-70.56
02558,MA,PRIMARY,41.74,-70.66
02653,MA,PRIMARY,41.79,-70
02655,MA,PRIMARY,41.62,-70.38
01540,MA,PRIMARY,42.11,-71.87
01960,MA,PRIMARY,42.53,-70.97
01961,MA,PRIMARY,42.53,-70.97
02359,MA,PRIMARY,42.06,-70.8
01463,MA,PRIMARY,42.66,-71.58
01866,MA,PRIMARY,42.53,-71.23
02360,MA,PRIMARY,41.95,-70.66
02361,MA,PRIMARY,41.95,-70.66
02362,MA,PRIMARY,41.95,-70.66
02367,MA,PRIMARY,41.95,-70.81
02559,MA,PRIMARY,41.69,-70.63
01965,MA,PRIMARY,42.56,-70.86
01541,MA,PRIMARY,42.45,-71.86
02657,MA,PRIMARY,42.06,-70.2
02368,MA,PRIMARY,42.17,-71.05
01867,MA,PRIMARY,42.53,-71.1
01542,MA,PRIMARY,42.2,-71.9
02370,MA,PRIMARY,42.13,-70.91
01966,MA,PRIMARY,42.64,-70.61
01969,MA,PRIMARY,42.71,-70.87
01543,MA,PRIMARY,42.36,-71.95
02561,MA,PRIMARY,41.78,-70.53
02562,MA,PRIMARY,41.79,-70.53
01970,MA,PRIMARY,42.51,-70.9
01971,MA,PRIMARY,42.51,-70.89
02563,MA,PRIMARY,41.75,-70.49
02040,MA,PRIMARY,42.19,-70.76
02055,MA,PRIMARY,42.19,-70.76
02060,MA,PRIMARY,42.21,-70.76
02066,MA,PRIMARY,42.18,-70.73
02067,MA,PRIMARY,42.11,-71.18
02070,MA,PRIMARY,42.05,-71.35
01770,MA,PRIMARY,42.23,-71.36
01464,MA,PRIMARY,42.54,-71.65
01545,MA,PRIMARY,42.3,-71.71
01546,MA,PRIMARY,42.3,-71.71
01745,MA,PRIMARY,42.29,-71.5
01772,MA,PRIMARY,42.3,-71.51
01550,MA,PRIMARY,42.08,-72.03
02366,MA,PRIMARY,41.83,-70.72
02659,MA,PRIMARY,41.68,-70.02
02660,MA,PRIMARY,41.7,-70.15
02375,MA,PRIMARY,42.03,-71.1
01560,MA,PRIMARY,42.17,-71.68
01982,MA,PRIMARY,42.62,-70.86
02661,MA,PRIMARY,41.67,-70.04
01561,MA,PRIMARY,42.43,-71.69
02662,MA,PRIMARY,41.75,-69.99
02071,MA,PRIMARY,42.09,-71.27
02663,MA,PRIMARY,41.89,-69.98
02664,MA,PRIMARY,41.67,-70.2
02673,MA,PRIMARY,41.65,-70.24
01562,MA,PRIMARY,42.24,-71.99
01564,MA,PRIMARY,42.43,-71.75
01467,MA,PRIMARY,42.49,-71.61
02072,MA,PRIMARY,42.11,-71.1
01775,MA,PRIMARY,42.43,-71.5
01518,MA,PRIMARY,42.12,-72.11
01566,MA,PRIMARY,42.09,-72.06
01776,MA,PRIMARY,42.36,-71.4
01590,MA,PRIMARY,42.15,-71.76
01468,MA,PRIMARY,42.55,-72.06
01876,MA,PRIMARY,42.61,-71.23
01983,MA,PRIMARY,42.63,-70.95
01469,MA,PRIMARY,42.66,-71.7
01474,MA,PRIMARY,42.66,-71.74
02666,MA,PRIMARY,42,-70.06
01879,MA,PRIMARY,42.68,-71.41
01569,MA,PRIMARY,42.08,-71.6
02568,MA,PRIMARY,41.45,-70.6
02573,MA,PRIMARY,41.45,-70.6
01880,MA,PRIMARY,42.5,-71.06
02081,MA,PRIMARY,42.13,-71.24
02571,MA,PRIMARY,41.76,-70.71
01778,MA,PRIMARY,42.36,-71.36
01570,MA,PRIMARY,42.04,-71.87
01571,MA,PRIMARY,42.05,-71.93
02667,MA,PRIMARY,41.93,-70.03
02637,MA,PRIMARY,41.7,-70.24
01923,MA,PRIMARY,42.57,-70.95
02026,MA,PRIMARY,42.24,-71.17
02027,MA,PRIMARY,42.24,-71.17
02638,MA,PRIMARY,41.73,-70.2
02639,MA,PRIMARY,41.66,-70.13
02030,MA,PRIMARY,42.24,-71.27
01826,MA,PRIMARY,42.66,-71.3
01827,MA,PRIMARY,42.66,-71.48
02331,MA,PRIMARY,42.04,-70.67
02332,MA,PRIMARY,42.04,-70.67
02333,MA,PRIMARY,42.03,-70.95
01515,MA,PRIMARY,42.22,-72.04
02641,MA,PRIMARY,41.74,-70.15
01516,MA,PRIMARY,42.05,-71.73
02536,MA,PRIMARY,41.56,-70.55
02642,MA,PRIMARY,41.83,-69.96
02334,MA,PRIMARY,42.03,-71.1
02643,MA,PRIMARY,41.74,-69.98
01517,MA,PRIMARY,42.46,-71.89
02537,MA,PRIMARY,41.73,-70.43
01438,MA,PRIMARY,42.53,-72.05
02032,MA,PRIMARY,42.15,-71.21
02538,MA,PRIMARY,41.77,-70.64
02539,MA,PRIMARY,41.38,-70.53
02337,MA,PRIMARY,42.01,-70.96
01929,MA,PRIMARY,42.63,-70.77
02540,MA,PRIMARY,41.56,-70.62
02541,MA,PRIMARY,41.54,-70.6
02543,MA,PRIMARY,41.52,-70.66
01521,MA,PRIMARY,42.05,-72.15
01420,MA,PRIMARY,42.58,-71.81
02644,MA,PRIMARY,41.68,-70.5
02035,MA,PRIMARY,42.06,-71.24
01701,MA,PRIMARY,42.3,-71.43
01702,MA,PRIMARY,42.3,-71.43
01703,MA,PRIMARY,42.3,-71.43
01704,MA,PRIMARY,42.3,-71.43
01705,MA,PRIMARY,42.3,-71.43
02038,MA,PRIMARY,42.08,-71.38
01440,MA,PRIMARY,42.58,-71.98
01930,MA,PRIMARY,42.62,-70.66
01931,MA,PRIMARY,42.62,-70.66
01519,MA,PRIMARY,42.2,-71.68
02041,MA,PRIMARY,42.1,-70.71
01450,MA,PRIMARY,42.6,-71.57
01470,MA,PRIMARY,42.6,-71.57
01471,MA,PRIMARY,42.6,-71.57
02338,MA,PRIMARY,41.98,-70.86
01936,MA,PRIMARY,42.61,-70.86
02339,MA,PRIMARY,42.11,-70.81
02340,MA,PRIMARY,42.11,-70.81
02341,MA,PRIMARY,42.06,-70.85
01451,MA,PRIMARY,42.5,-71.58
02645,MA,PRIMARY,41.69,-70.07
02646,MA,PRIMARY,41.66,-70.06
01937,MA,PRIMARY,42.57,-70.95
01830,MA,PRIMARY,42.78,-71.08
01831,MA,PRIMARY,42.78,-71.08
01832,MA,PRIMARY,42.78,-71.08
01833,MA,PRIMARY,42.73,-70.98
01834,MA,PRIMARY,42.75,-71.03
01835,MA,PRIMARY,42.78,-71.08
02018,MA,PRIMARY,42.17,-70.88
02043,MA,PRIMARY,42.23,-70.88
02044,MA,PRIMARY,42.23,-70.88
02343,MA,PRIMARY,42.14,-71
01520,MA,PRIMARY,42.35,-71.85
01746,MA,PRIMARY,42.2,-71.43
01747,MA,PRIMARY,42.12,-71.54
01748,MA,PRIMARY,42.22,-71.52
01452,MA,PRIMARY,42.48,-72.01
01749,MA,PRIMARY,42.39,-71.56
02045,MA,PRIMARY,42.3,-70.9
02047,MA,PRIMARY,42.19,-70.76
02601,MA,PRIMARY,41.65,-70.29
02647,MA,PRIMARY,41.64,-70.3
01938,MA,PRIMARY,42.67,-70.83
01522,MA,PRIMARY,42.38,-71.87
01523,MA,PRIMARY,42.45,-71.66
01840,MA,PRIMARY,42.7,-71.16
01841,MA,PRIMARY,42.7,-71.16
01842,MA,PRIMARY,42.7,-71.16
01843,MA,PRIMARY,42.7,-71.16
01844,MA,PRIMARY,42.71,-71.18
01845,MA,PRIMARY,42.7,-71.11
01524,MA,PRIMARY,42.25,-71.9
01453,MA,PRIMARY,42.51,-71.77
01773,MA,PRIMARY,42.41,-71.3
01525,MA,PRIMARY,42.05,-71.64
01460,MA,PRIMARY,42.53,-71.47
01850,MA,PRIMARY,42.63,-71.32
01851,MA,PRIMARY,42.63,-71.32
01852,MA,PRIMARY,42.63,-71.32
01853,MA,PRIMARY,42.63,-71.32
01854,MA,PRIMARY,42.63,-71.32
01462,MA,PRIMARY,42.59,-71.72
01901,MA,PRIMARY,42.47,-70.96
01902,MA,PRIMARY,42.47,-70.96
01903,MA,PRIMARY,42.47,-70.96
01904,MA,PRIMARY,42.47,-70.96
01905,MA,PRIMARY,42.47,-70.96
01906,MA,PRIMARY,42.46,-71.01
01907,MA,PRIMARY,42.46,-70.89
01908,MA,PRIMARY,42.42,-70.92
01910,MA,PRIMARY,42.47,-70.96
01940,MA,PRIMARY,42.53,-71.04
01526,MA,PRIMARY,42.12,-71.76
01944,MA,PRIMARY,42.56,-70.76
02345,MA,PRIMARY,41.92,-70.56
02048,MA,PRIMARY,42.02,-71.21
01945,MA,PRIMARY,42.5,-70.85
01752,MA,PRIMARY,42.34,-71.54
02050,MA,PRIMARY,42.09,-70.7
02065,MA,PRIMARY,42.1,-70.71
02051,MA,PRIMARY,42.15,-70.73
02648,MA,PRIMARY,41.67,-70.4
02649,MA,PRIMARY,41.65,-70.48
01754,MA,PRIMARY,42.42,-71.45
02052,MA,PRIMARY,42.18,-71.3
02053,MA,PRIMARY,42.13,-71.4
01756,MA,PRIMARY,42.1,-71.55
01860,MA,PRIMARY,42.83,-71
02344,MA,PRIMARY,41.86,-70.9
02346,MA,PRIMARY,41.86,-70.9
02348,MA,PRIMARY,41.86,-70.9
02349,MA,PRIMARY,41.86,-70.9
01949,MA,PRIMARY,42.6,-71.01
01757,MA,PRIMARY,42.14,-71.51
01527,MA,PRIMARY,42.19,-71.76
01984,MA,PRIMARY,42.6,-70.88
02668,MA,PRIMARY,41.7,-70.37
01580,MA,PRIMARY,42.26,-71.61
01581,MA,PRIMARY,42.26,-71.61
01582,MA,PRIMARY,42.26,-71.61
01885,MA,PRIMARY,42.67,-71.03
01583,MA,PRIMARY,42.36,-71.78
02379,MA,PRIMARY,42.01,-71
01585,MA,PRIMARY,42.23,-72.14
02669,MA,PRIMARY,41.68,-69.99
02670,MA,PRIMARY,41.66,-70.16
02574,MA,PRIMARY,41.6,-70.64
01886,MA,PRIMARY,42.58,-71.43
01472,MA,PRIMARY,42.61,-71.62
02671,MA,PRIMARY,41.67,-70.11
02672,MA,PRIMARY,41.66,-70.33
01441,MA,PRIMARY,42.58,-71.98
01473,MA,PRIMARY,42.55,-71.9
01985,MA,PRIMARY,42.8,-71
02575,MA,PRIMARY,41.38,-70.67
01568,MA,PRIMARY,42.17,-71.61
02576,MA,PRIMARY,41.78,-70.75
02090,MA,PRIMARY,42.21,-71.21
02381,MA,PRIMARY,41.93,-70.59
01588,MA,PRIMARY,42.11,-71.67
02382,MA,PRIMARY,42.08,-70.93
01887,MA,PRIMARY,42.55,-71.16
01475,MA,PRIMARY,42.68,-72.04
01477,MA,PRIMARY,42.69,-72.01
01890,MA,PRIMARY,42.45,-71.14
01801,MA,PRIMARY,42.48,-71.15
01807,MA,PRIMARY,42.48,-71.15
01813,MA,PRIMARY,42.48,-71.15
01815,MA,PRIMARY,42.48,-71.15
01888,MA,PRIMARY,42.48,-71.15
01784,MA,PRIMARY,42.23,-71.55
01601,MA,PRIMARY,42.26,-71.8
01602,MA,PRIMARY,42.26,-71.8
01603,MA,PRIMARY,42.26,-71.8
01604,MA,PRIMARY,42.26,-71.8
01605,MA,PRIMARY,42.26,-71.8
01606,MA,PRIMARY,42.26,-71.8
01607,MA,PRIMARY,42.26,-71.8
01608,MA,PRIMARY,42.26,-71.8
01609,MA,PRIMARY,42.26,-71.8
01610,MA,PRIMARY,42.26,-71.8
01611,MA,PRIMARY,42.23,-71.87
01612,MA,PRIMARY,42.31,-71.93
01613,MA,PRIMARY,42.26,-71.8
01614,MA,PRIMARY,42.26,-71.8
01615,MA,PRIMARY,42.26,-71.8
01653,MA,PRIMARY,42.26,-71.8
01654,MA,PRIMARY,42.26,-71.8
01655,MA,PRIMARY,42.26,-71.8
02093,MA,PRIMARY,42.06,-71.33
02675,MA,PRIMARY,41.7,-70.22
02364,MA,PRIMARY,41.99,-70.71
02347,MA,PRIMARY,41.85,-70.95
04406,ME,PRIMARY,45.18,-69.45
04001,ME,PRIMARY,43.53,-70.91
04606,ME,PRIMARY,45.08,-67.46
04910,ME,PRIMARY,44.53,-69.44
04002,ME,PRIMARY,43.47,-70.71
04535,ME,PRIMARY,44.1,-69.6
04216,ME,PRIMARY,44.63,-70.75
04911,ME,PRIMARY,44.79,-69.88
04732,ME,PRIMARY,46.63,-68.4
04912,ME,PRIMARY,44.92,-69.67
04210,ME,PRIMARY,44.08,-70.24
04211,ME,PRIMARY,44.08,-70.24
04212,ME,PRIMARY,44.08,-70.24
04330,ME,PRIMARY,44.33,-69.72
04332,ME,PRIMARY,44.33,-69.72
04333,ME,PRIMARY,44.33,-69.72
04336,ME,PRIMARY,44.33,-69.72
04338,ME,PRIMARY,44.33,-69.72
04408,ME,PRIMARY,44.85,-68.32
04003,ME,PRIMARY,43.73,-69.99
04401,ME,PRIMARY,44.83,-68.78
04402,ME,PRIMARY,44.83,-68.78
04609,ME,PRIMARY,44.38,-68.21
04004,ME,PRIMARY,43.61,-70.54
04635,ME,PRIMARY,44.11,-68.36
04653,ME,PRIMARY,44.15,-68.43
04530,ME,PRIMARY,43.93,-69.83
04611,ME,PRIMARY,44.48,-67.58
04915,ME,PRIMARY,44.42,-69.02
04917,ME,PRIMARY,44.44,-69.83
04918,ME,PRIMARY,44.51,-69.84
04733,ME,PRIMARY,45.8,-68.41
04612,ME,PRIMARY,44.24,-68.35
03901,ME,PRIMARY,43.26,-70.86
04217,ME,PRIMARY,44.4,-70.79
04286,ME,PRIMARY,44.4,-70.86
04005,ME,PRIMARY,43.46,-70.44
04007,ME,PRIMARY,43.46,-70.44
04006,ME,PRIMARY,43.44,-70.34
04920,ME,PRIMARY,45.05,-69.87
04613,ME,PRIMARY,44.38,-68.04
04734,ME,PRIMARY,46.5,-67.86
04614,ME,PRIMARY,44.41,-68.58
04629,ME,PRIMARY,44.44,-68.54
04537,ME,PRIMARY,43.87,-69.63
04549,ME,PRIMARY,43.89,-69.62
04538,ME,PRIMARY,43.85,-69.62
04570,ME,PRIMARY,43.8,-69.63
04008,ME,PRIMARY,44.01,-69.89
04410,ME,PRIMARY,45.06,-68.93
04411,ME,PRIMARY,44.92,-68.62
04412,ME,PRIMARY,44.77,-68.73
04735,ME,PRIMARY,46.42,-67.84
04009,ME,PRIMARY,44.06,-70.72
04539,ME,PRIMARY,43.95,-69.5
04616,ME,PRIMARY,44.26,-68.56
04921,ME,PRIMARY,44.55,-69.12
04617,ME,PRIMARY,44.34,-68.68
04642,ME,PRIMARY,44.33,-68.79
04413,ME,PRIMARY,45.52,-67.76
04010,ME,PRIMARY,43.93,-70.9
04414,ME,PRIMARY,45.3,-69.03
04415,ME,PRIMARY,45.35,-69.05
04011,ME,PRIMARY,43.91,-69.96
04219,ME,PRIMARY,44.37,-70.64
04220,ME,PRIMARY,44.28,-70.36
04416,ME,PRIMARY,44.6,-68.79
04417,ME,PRIMARY,45.2,-68.42
04922,ME,PRIMARY,44.69,-69.42
04619,ME,PRIMARY,45.13,-67.2
04923,ME,PRIMARY,45.02,-69.47
04843,ME,PRIMARY,44.2,-69.06
04847,ME,PRIMARY,44.26,-69.15
04924,ME,PRIMARY,44.76,-69.56
04221,ME,PRIMARY,44.44,-70.31
03902,ME,PRIMARY,43.17,-70.61
